type	count	new count	quality	rarity	Item Name	Description	AI Prompt Adjustment
boon		4		rare	Exodia, the forbidden one	This is a piece of exodia. If your team can collect all 5 pieces of exodia, their team scores X points and everyone on the team gets one common spell	Draw the face of a forbidable and intimidating magical golem.
boon		4		rare	Left Arm of the forbidden one	This is a piece of exodia. If your team can collect all 5 pieces of exodia, their team scores X points and everyone on the team gets one common spell	
boon		4		rare	Right Arm of the forbidden one	This is a piece of exodia. If your team can collect all 5 pieces of exodia, their team scores X points and everyone on the team gets one common spell	
boon		4		rare	Left Leg of the forbidden one	This is a piece of exodia. If your team can collect all 5 pieces of exodia, their team scores X points and everyone on the team gets one common spell	
boon		4		rare	Right Leg of the forbidden one	This is a piece of exodia. If your team can collect all 5 pieces of exodia, their team scores X points and everyone on the team gets one common spell	
boon	10	10		rare	Go Piss Girl	You may skip to the front of the bathroom line. Can cancel out "little piss boy."	
curse	8	5		rare	Little Piss Boy	Pick someone in the bathroom line, they must go to the end of the bathroom line. Can cancel out "go piss girl."	
boon		8		rare	Polyjuice potion	Pick someone who is currently playing a party game. You make take their place, and they have to leave the game.	
boon		8		rare	Pot of Greed	If you draw a spell that you dislike, discard that card and pot of greed to draw two new cards of the rarity of the card you discarded	
curse	20	8		rare	Goblin Guard	Pick a player. They become your "Goblin Guard" and must loudly announce "My liege is drinking!" every time you take a sip until you finish your drink.	
boon		12		rare	Ice Ice Baby	Ask a host for a smirnoff ice. Use it to ice someone.	Draw a wizard kneeling, on one knee drinking from a smirnoff ice bottle, a crowd of other wizards is cheering.
		8		rare	Discord Kitten	Pick a player. They must start and end every sentence with 'uwu,' 'owo,' 'mrow,' or 'nyaaa' until they finish their drink.  	
				Aquamancer	Summon Ice	Give another player an ice cube. They must hold it until it melts.	
				Aquamancer	Rippling Reflection	The next spell cast at you is reflected onto another player (you choose)	
				Aquamancer	Siphon	Choose 1 player to pour the rest of your can into theirs (it can't overflow). You keep your level.	Draw a wizard magically moving the contents of his drink into an elf's cup.
				Aquamancer	Hydrate	For the rest of the party, you may force anyone to drink a glass of water at any time (max 3 times per person)	Draw a wizard magically summoning a glass of water into the hand of an onlooker.
				Romancer	Stupid in Love	Choose a player. They may only speak in one syllable words until they level up.	
				Romancer	Flattery	Choose 3 players. Each of them must give you a compliment. Decide which compliment was best, and the other 2 players must finish the rest of your drink together. You keep the level.	
				Romancer	Cupid's Arrow	Choose a player, they must wink after everything they say until they level up (remind people they can explain what is going on)	
				Romancer	Dramatic Demise	For the rest of the party, anyone you touch must faint dramatically to the ground. (they can just get up again immediately)	
				Salamancer	Embrace the forest	Targeted wizard may only drink while performing the tree pose.	
				Salamancer	Transmogrify	Two players swap an item of clothing (of their choice) until the end of the era.	
				Salamancer	Ensnare	Choose two players and wrap duct tape around the both of them, taping them together. they must stay that way until they both level up.	Draw two wizards ensared together by a magical rope.
				Salamancer	Druid's Circle	Choose 5 players. They must stand in a circle, holding each other's staffs with both arms, until they have all finished their drinks. You can cast this up to three times total	
				Pyromancer	Fireball	Choose 3 players to all take 1 sip of fireball.	
				Pyromancer	Torch Bearer	Pick a player who must hold your staff for you until you finish your drink.	Draw an elf holding a staff next to a wizard, who is casually summoning a small flame above his hand, while drinking mead.
				Pyromancer	Flame trap	Next time a spell is cast on you, choose 3 others to share the same fate	
				Pyromancer	Feet on Fire	For the rest of the party, you have the ability to make anyone dance for ten seconds	
				Alchemancer	Paralytic Tincture	The targeted player can't move from their spot until they level up	
				Alchemancer	Echo Elixir	Choose another player. They can cast their next spell 2 times. You get input on the target(s)	
				Alchemancer	Alchemy	Choose two people. Combine their drinks into a single vessel, then distribute them back into their drinking containers.	
				Alchemancer	Doppelbrew	Make 2 people follow you around and repeat everything you say and do until they finish their drink. Whenever you lose a mirror image, you can cast the spell on someone new. You cannot cast the spell on the same person twice.	
